,concept_id,found_from,concept_name,domain_id,vocabulary_id,standard_concept,Include?
155,40483347,From initial search,Skin folds visible on edematous limb,Condition,SNOMED,S,y
156,40482907,From initial search,Soft pitting edema,Condition,SNOMED,S,y
157,4179625,From initial search,Subglottic edema,Condition,SNOMED,S,y
158,44802361,From initial search,Palliative treatment of lymphoedema,Observation,SNOMED,S,y
159,4010007,From initial search,Edema of the upper extremity,Condition,SNOMED,S,y
160,4010967,From initial search,Edema of forearm,Condition,SNOMED,S,y
164,45763811,From initial search,Edema of lower eyelid,Condition,SNOMED,S,y
168,45766923,From initial search,Massive ovarian edema,Condition,SNOMED,S,y
172,36717150,From initial search,Fluid overload without edema,Condition,SNOMED,S,y
173,37110554,From initial search,Physical angioedema,Condition,SNOMED,S,y
176,4048793,From initial search,Vasogenic cerebral edema,Condition,SNOMED,S,y
181,4094011,From initial search,Fine corneal edema,Condition,SNOMED,S,y
183,433595,From initial search,Edema,Condition,SNOMED,S,y
184,4109678,From initial search,Pitting edema,Condition,SNOMED,S,y
185,4159367,From initial search,Edema of nipple,Condition,SNOMED,S,y
186,3656887,From initial search,Edema of right orbit,Condition,SNOMED,S,y
187,37207887,From initial search,Conjunctival edema of right eye,Condition,SNOMED,S,y
188,762386,From initial search,Edema of left eyelid,Condition,SNOMED,S,y
191,37207427,From initial search,Severe generalized edema,Condition,SNOMED,S,y
195,4195595,From initial search,Localized edema,Observation,SNOMED,S,y
197,37311248,From initial search,Edema of right lower limb,Condition,SNOMED,S,y
198,3654345,From initial search,Edema of abdomen,Condition,SNOMED,S,y
199,3655493,From initial search,Edema of esophagus,Condition,SNOMED,S,y
201,4339391,From initial search,Intercellular edema,Observation,SNOMED,S,y
202,44811198,From initial search,Seen in community lymphoedema clinic,Observation,SNOMED,S,y
203,4318834,From initial search,Retroperitoneal edema,Condition,SNOMED,S,y
208,4292366,From initial search,Cholinergic angioedema,Condition,SNOMED,S,y
210,4291466,From initial search,Periodic edema,Condition,SNOMED,S,y
211,36717276,From initial search,Lymphedema of left upper limb,Condition,SNOMED,S,y
212,761572,From initial search,Edema of cornea of bilateral eyes,Condition,SNOMED,S,y
213,36712976,From initial search,Venous stasis edema of bilateral lower limbs,Condition,SNOMED,S,y
214,3657792,From initial search,Edema of corneal stroma of left eye,Condition,SNOMED,S,y
216,4043946,From initial search,Leukedema of tongue,Condition,SNOMED,S,y
218,4267552,From initial search,Primary lymphedema tardum,Condition,SNOMED,S,y
219,4299807,From initial search,Lymphedema of genitalia,Condition,SNOMED,S,y
220,4296366,From initial search,Lymphedema of vulva,Condition,SNOMED,S,y
221,432791,From initial search,Angioedema,Condition,SNOMED,S,y
224,40480101,From initial search,Edema of calf,Condition,SNOMED,S,y
225,40482052,From initial search,Edema of face,Condition,SNOMED,S,y
226,40483788,From initial search,Lymphovenous edema,Condition,SNOMED,S,y
227,40483302,From initial search,Firm pitting edema,Condition,SNOMED,S,y
228,40483338,From initial search,Dependent lymphedema,Condition,SNOMED,S,y
229,40492237,From initial search,Lymphedema care,Observation,SNOMED,S,y
230,42709835,From initial search,Edema of lower leg,Condition,SNOMED,S,y
232,44802019,From initial search,Mild lymphoedema of limb,Condition,SNOMED,S,y
233,44813738,From initial search,Moderate lymphoedema of limb,Condition,SNOMED,S,y
236,4009381,From initial search,Edema of hand,Condition,SNOMED,S,y
237,4010012,From initial search,Edema of knee,Condition,SNOMED,S,y
243,436702,From initial search,Pseudopapilledema,Condition,SNOMED,S,y
254,4032895,From initial search,Facial lymphedema,Condition,SNOMED,S,y
255,4084172,From initial search,Chemical-aggravated angioedema-urticaria,Condition,SNOMED,S,y
261,3043344,From initial search,Edema [Minimum Data Set],Observation,LOINC,S,y
262,4102131,From initial search,Gravitational edema of leg,Condition,SNOMED,S,y
263,4199409,From initial search,Edema of trunk,Condition,SNOMED,S,y
265,3657051,From initial search,Bilateral edema of orbits,Condition,SNOMED,S,y
266,4233567,From initial search,Alimentary edema,Condition,SNOMED,S,y
267,4296243,From initial search,Cerebral edema control,Observation,SNOMED,S,y
272,4196943,From initial search,Edema,Observation,SNOMED,S,y
273,37311858,From initial search,Bilateral lower leg edema,Condition,SNOMED,S,y
274,37311855,From initial search,Bilateral upper arm edema,Condition,SNOMED,S,y
278,4230799,From initial search,Edema of scrotum,Condition,SNOMED,S,y
282,42593384,From initial search,Edema of soft palate,Condition,SNOMED Veterinary,S,y
284,4291296,From initial search,Lymphedema of uncertain etiology,Condition,SNOMED,S,y
285,4292365,From initial search,Angioedema of tongue,Condition,SNOMED,S,y
287,37108889,From initial search,Macular edema of retina of left eye,Condition,SNOMED,S,y
288,36712937,From initial search,Lymphedema of bilateral lower limbs,Condition,SNOMED,S,y
289,761570,From initial search,Microcystic edema of cornea of left eye,Condition,SNOMED,S,y
290,36717281,From initial search,Venous stasis edema of right lower limb,Condition,SNOMED,S,y
298,40480516,From initial search,Orbital edema,Condition,SNOMED,S,y
299,40482879,From initial search,Edema of buttock,Condition,SNOMED,S,y
300,42709748,From initial search,Lymphedema of upper limb,Condition,SNOMED,S,y
